ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
396535,Train to Busan,7.8,2016-07-20,ko,"[27, 53, 28, 12]",True
1149381,Soulcatcher,6.5,2023-08-02,pl,[28],True
101299,The Hunger Games: Catching Fire,7.4,2013-11-15,en,"[12, 28, 878]",True
808,Shrek,7.7,2001-05-18,en,"[16, 35, 14, 12, 10751]",True
1126577,Til Death Do Us Part,6,2023-08-03,en,"[27, 53, 28]",True
1150394,The Legend of the Spirits,8.4,2023-07-14,es,"[16, 35, 10751, 27]",True
798362,The Marsh King's Daughter,6.5,2023-09-28,en,"[9648, 53, 18]",True
709631,Cobweb,6.8,2023-07-19,en,[27],True
744276,After Ever Happy,6.9,2022-08-24,en,"[10749, 18]",True
585511,Luck,7.8,2022-08-05,en,"[16, 12, 35, 14]",True
1001835,Wifelike,7,2022-08-12,en,"[878, 9648, 53]",True
49444,Kung Fu Panda 2,7,2011-05-25,en,"[16, 10751, 35]",True
420818,The Lion King,7.1,2019-07-12,en,"[12, 18, 10751, 16]",True
1214849,Jashin-chan Dropkick [Seikimatsu-hen],0,2023-12-27,ja,"[35, 16, 28, 12]",True
1133602,Bad Lands,6.8,2023-09-29,ja,"[28, 80]",True
324857,Spider-Man: Into the Spider-Verse,8.4,2018-12-06,en,"[28, 12, 16, 878]",True
24428,The Avengers,7.7,2012-04-25,en,"[878, 28, 12]",True
324786,Hacksaw Ridge,8.2,2016-10-07,en,"[18, 36, 10752]",True
76341,Mad Max: Fury Road,7.6,2015-05-13,en,"[28, 12, 878]",True
27205,Inception,8.4,2010-07-15,en,"[28, 878, 12]",True
736526,Troll,6.7,2022-12-01,no,"[14, 28, 12]",True
532408,The Boogeyman,6.5,2023-05-31,en,"[27, 53, 9648]",True
893345,The Secret Kingdom,6.6,2023-04-27,en,"[10751, 14, 12]",True
1145881,Bring Her to Me,3.8,2023-10-27,en,"[53, 27]",True
